keyword,timestamp,google_domain,country,language,device,position,title,url,domain,displayed_url,snippet,serp_id
normal-serp,2026-09-04T18:24:55.230Z,www.google.com,us,en,desktop,1,result 1,https://site1.example.com/page,site1.example.com,site1.example.com › page,Snippet for result 1.,664b1d98-c445-4bf9-a403-1360ec373ddd
normal-serp,2026-09-04T18:24:55.230Z,www.google.com,us,en,desktop,2,result 2,https://site2.example.com/page,site2.example.com,site2.example.com › page,Snippet for result 2.,664b1d98-c445-4bf9-a403-1360ec373ddd
normal-serp,2026-09-04T18:24:55.230Z,www.google.com,us,en,desktop,3,result 3,https://site3.example.com/page,site3.example.com,site3.example.com › page,Snippet for result 3.,664b1d98-c445-4bf9-a403-1360ec373ddd
normal-serp,2026-09-04T18:24:55.230Z,www.google.com,us,en,desktop,4,result 4,https://site4.example.com/page,site4.example.com,site4.example.com › page,Snippet for result 4.,664b1d98-c445-4bf9-a403-1360ec373ddd
normal-serp,2026-09-04T18:24:55.230Z,www.google.com,us,en,desktop,5,result 5,https://site5.example.com/page,site5.example.com,site5.example.com › page,Snippet for result 5.,664b1d98-c445-4bf9-a403-1360ec373ddd
normal-serp,2026-09-04T18:24:55.230Z,www.google.com,us,en,desktop,6,result 6,https://site6.example.com/page,site6.example.com,site6.example.com › page,Snippet for result 6.,664b1d98-c445-4bf9-a403-1360ec373ddd
normal-serp,2026-09-04T18:24:55.230Z,www.google.com,us,en,desktop,7,result 7,https://site7.example.com/page,site7.example.com,site7.example.com › page,Snippet for result 7.,664b1d98-c445-4bf9-a403-1360ec373ddd
normal-serp,2026-09-04T18:24:55.230Z,www.google.com,us,en,desktop,8,result 8,https://site8.example.com/page,site8.example.com,site8.example.com › page,Snippet for result 8.,664b1d98-c445-4bf9-a403-1360ec373ddd
normal-serp,2026-09-04T18:24:55.230Z,www.google.com,us,en,desktop,9,result 9,https://site9.example.com/page,site9.example.com,site9.example.com › page,Snippet for result 9.,664b1d98-c445-4bf9-a403-1360ec373ddd
normal-serp,2026-09-04T18:24:55.230Z,www.google.com,us,en,desktop,10,result 10,https://site10.example.com/page,site10.example.com,site10.example.com › page,Snippet for result 10.,664b1d98-c445-4bf9-a403-1360ec373ddd
paa-serp,2026-09-04T18:24:55.240Z,www.google.com,us,en,desktop,1,result 1,https://site1.example.com/page,site1.example.com,site1.example.com › page,Snippet for result 1.,65b5cb06-d334-4fee-a2ab-778fb64c0b5f
paa-serp,2026-09-04T18:24:55.240Z,www.google.com,us,en,desktop,2,result 2,https://site2.example.com/page,site2.example.com,site2.example.com › page,Snippet for result 2.,65b5cb06-d334-4fee-a2ab-778fb64c0b5f
paa-serp,2026-09-04T18:24:55.240Z,www.google.com,us,en,desktop,3,result 3,https://site3.example.com/page,site3.example.com,site3.example.com › page,Snippet for result 3.,65b5cb06-d334-4fee-a2ab-778fb64c0b5f
paa-serp,2026-09-04T18:24:55.240Z,www.google.com,us,en,desktop,4,result 4,https://site4.example.com/page,site4.example.com,site4.example.com › page,Snippet for result 4.,65b5cb06-d334-4fee-a2ab-778fb64c0b5f
paa-serp,2026-09-04T18:24:55.240Z,www.google.com,us,en,desktop,5,result 5,https://site5.example.com/page,site5.example.com,site5.example.com › page,Snippet for result 5.,65b5cb06-d334-4fee-a2ab-778fb64c0b5f
paa-serp,2026-09-04T18:24:55.240Z,www.google.com,us,en,desktop,6,result 6,https://site6.example.com/page,site6.example.com,site6.example.com › page,Snippet for result 6.,65b5cb06-d334-4fee-a2ab-778fb64c0b5f
ai-overview,2026-09-04T18:24:55.249Z,www.google.com,us,en,desktop,1,result 1,https://site1.example.com/page,site1.example.com,site1.example.com › page,Snippet for result 1.,30ac2068-14f5-4ae0-85f4-db7455a6afb0
ai-overview,2026-09-04T18:24:55.249Z,www.google.com,us,en,desktop,2,result 2,https://site2.example.com/page,site2.example.com,site2.example.com › page,Snippet for result 2.,30ac2068-14f5-4ae0-85f4-db7455a6afb0
ai-overview,2026-09-04T18:24:55.249Z,www.google.com,us,en,desktop,3,result 3,https://site3.example.com/page,site3.example.com,site3.example.com › page,Snippet for result 3.,30ac2068-14f5-4ae0-85f4-db7455a6afb0
ai-overview,2026-09-04T18:24:55.249Z,www.google.com,us,en,desktop,4,result 4,https://site4.example.com/page,site4.example.com,site4.example.com › page,Snippet for result 4.,30ac2068-14f5-4ae0-85f4-db7455a6afb0
ai-overview,2026-09-04T18:24:55.249Z,www.google.com,us,en,desktop,5,result 5,https://site5.example.com/page,site5.example.com,site5.example.com › page,Snippet for result 5.,30ac2068-14f5-4ae0-85f4-db7455a6afb0
